Common name,Scientific name,No.,No. Back
Black-breasted Weaver,Ploceus benghalensis,1,0
Streaked Weaver,Ploceus manyar,34,3
Baya Weaver,Ploceus philippinus,67,18
Finn's Weaver,Ploceus megarhynchus,2,0
Dark-backed Weaver,Ploceus bicolor,86,26
Olive-headed Weaver,Ploceus olivaceiceps,1,0
Usambara Weaver,Ploceus nicolli,9,0
Brown-capped Weaver,Ploceus insignis,10,0
Bar-winged Weaver,Ploceus angolensis,12,0
Sao Tome Weaver,Ploceus sanctithomae,6,5
Red-crowned Malimbe,Malimbus coronatus,5,0
Cassin's Malimbe,Malimbus cassini,4,0
Gola Malimbe,Malimbus ballmanni,4,0
Red-vented Malimbe,Malimbus scutatus,15,4
Blue-billed Malimbe,Malimbus nitens,39,8
Red-headed Malimbe,Malimbus rubricollis,9,2
Crested Malimbe,Malimbus malimbicus,15,3
Red-headed Weaver,Anaplectes rubriceps,11,0
Cardinal Quelea,Quelea cardinalis,4,0
Red-headed Quelea,Quelea erythrops,2,0
Red-billed Quelea,Quelea quelea,41,13
Red Fody,Foudia madagascariensis,84,214
Comoros Fody,Foudia eminentissima,4,0
Forest Fody,Foudia omissa,18,18
Mauritius Fody,Foudia rubra,57,4
Seychelles Fody,Foudia sechellarum,18,7
Rodrigues Fody,Foudia flavicans,6,0
Bob-tailed Weaver,Brachycope anomala,2,0
Yellow-crowned Bishop,Euplectes afer,46,50
Fire-fronted Bishop,Euplectes diadematus,3,0
Black Bishop,Euplectes gierowii,4,0
Zanzibar Red Bishop,Euplectes nigroventris,5,1
Black-winged Red Bishop,Euplectes hordeaceus,16,3
Southern Red Bishop,Euplectes orix,52,38
Northern Red Bishop,Euplectes franciscanus,21,4
Golden-backed Bishop,Euplectes aureus,2,1
Yellow Bishop,Euplectes capensis,41,6
Fan-tailed Widowbird,Euplectes axillaris,7,0
Yellow-mantled Widowbird,Euplectes macroura,10,3
Marsh Widowbird,Euplectes hartlaubi,14,3
Montane Widowbird,Euplectes psammacromius,7,2
White-winged Widowbird,Euplectes albonotatus,14,7
Red-collared Widowbird,Euplectes ardens,23,7
Long-tailed Widowbird,Euplectes progne,34,8
Jackson's Widowbird,Euplectes jacksoni,6,0
Pictorella Mannikin,Heteromunia pectoralis,1,0
Mountain Firetail,Oreostruthus fuliginosus,3,0
Diamond Firetail,Stagonopleura guttata,10,3
Red-eared Firetail,Stagonopleura oculata,3,0
Beautiful Firetail,Stagonopleura bella,12,0
Crimson Finch,Neochmia phaeton,30,23
Red-browed Finch,Neochmia temporalis,16,11
Painted Finch,Emblema pictum,7,1
Star Finch,Bathilda ruficauda,10,0
Plum-headed Finch,Aidemosyne modesta,3,0
Double-barred Finch,Stizoptera bichenovii,31,42
Zebra Finch,Taeniopygia guttata,44,32
Masked Finch,Poephila personata,4,1
Long-tailed Finch,Poephila acuticauda,10,0
Black-throated Finch,Poephila cincta,7,2
Grey-headed Silverbill,Spermestes griseicapilla,8,0
Bronze Mannikin,Spermestes cucullata,55,56
Magpie Mannikin,Spermestes fringilloides,7,0
Black-and-white Mannikin,Spermestes bicolor,10,3
Red-backed Mannikin,Spermestes nigriceps,15,2
Madagascar Mannikin,Lepidopygia nana,15,3
African Silverbill,Euodice cantans,39,11
Indian Silverbill,Euodice malabarica,41,6
Java Sparrow,Padda oryzivora,8,2
Timor Sparrow,Padda fuscata,1,0
Streak-headed Mannikin,Mayrimunia tristissima,6,0
Scaly-breasted Munia,Lonchura punctulata,147,56
Black-throated Munia,Lonchura kelaarti,7,1
Black-faced Munia,Lonchura molucca,9,0
White-rumped Munia,Lonchura striata,88,34
Dusky Munia,Lonchura fuscans,15,2
White-bellied Munia,Lonchura leucogastra,7,0
Javan Munia,Lonchura leucogastroides,12,2
Tricolored Munia,Lonchura malacca,6,0
Chestnut Munia,Lonchura atricapilla,28,5
White-capped Munia,Lonchura ferruginosa,1,0
White-headed Munia,Lonchura maja,14,0
Pale-headed Munia,Lonchura pallida,1,0
Black-breasted Mannikin,Lonchura teerinki,2,0
Western Alpine Mannikin,Lonchura montana,2,0
Grey-banded Mannikin,Lonchura vana,7,0
Grey-crowned Mannikin,Lonchura nevermanni,3,0
Grey-headed Mannikin,Lonchura caniceps,2,0
Hooded Mannikin,Lonchura spectabilis,5,0
Forbes's Mannikin,Lonchura forbesi,2,0
Hunstein's Mannikin,Lonchura hunsteini,2,0
Yellow-rumped Mannikin,Lonchura flaviprymna,1,0
Five-colored Munia,Lonchura quinticolor,2,0
Chestnut-breasted Mannikin,Lonchura castaneothorax,23,16
Black Mannikin,Lonchura stygia,1,0
Buff-bellied Mannikin,Lonchura melaena,2,0
Gouldian Finch,Chloebia gouldiae,5,1
Pin-tailed Parrotfinch,Erythrura prasina,17,1
Tawny-breasted Parrotfinch,Erythrura hyperythra,7,0
Red-throated Parrotfinch,Erythrura psittacea,2,0
Fiji Parrotfinch,Erythrura pealii,4,0
Red-headed Parrotfinch,Erythrura cyaneovirens,4,0
Pink-billed Parrotfinch,Erythrura kleinschmidti,5,0
Tricolored Parrotfinch,Erythrura tricolor,5,0
Red-eared Parrotfinch,Erythrura coloria,6,0
Blue-faced Parrotfinch,Erythrura trichroa,24,2
Shelley's Oliveback,Nesocharis shelleyi,3,0
White-collared Oliveback,Nesocharis ansorgei,1,0
Yellow-bellied Waxbill,Coccopygia quartinia,22,1
Angolan Waxbill,Coccopygia bocagei,1,0
Swee Waxbill,Coccopygia melanotis,20,6
Green Twinspot,Mandingoa nitidula,14,0
Dusky Crimsonwing,Cryptospiza jacksoni,10,0
Abyssinian Crimsonwing,Cryptospiza salvadorii,5,0
Red-faced Crimsonwing,Cryptospiza reichenovii,22,3
Red-fronted Antpecker,Parmoptila rubrifrons,5,0
Jameson's Antpecker,Parmoptila jamesoni,4,0
White-breasted Nigrita,Nigrita fusconotus,27,9
Chestnut-breasted Nigrita,Nigrita bicolor,18,1
Grey-headed Nigrita,Nigrita canicapillus,42,16
Grey-headed Oliveback,Delacourella capistrata,1,0
Black-cheeked Waxbill,Brunhilda charmosyna,8,0
Black-faced Waxbill,Brunhilda erythronotos,13,4
Lavender Waxbill,Glaucestrilda caerulescens,15,6
Grey Waxbill,Glaucestrilda perreini,3,0
Cinderella Waxbill,Glaucestrilda thomensis,3,0
Black-crowned Waxbill,Estrilda nonnula,20,4
Kandt's Waxbill,Estrilda kandti,9,1
Orange-cheeked Waxbill,Estrilda melpoda,16,2
Anambra Waxbill,Estrilda poliopareia,3,0
Fawn-breasted Waxbill,Estrilda paludicola,12,1
Abyssinian Waxbill,Estrilda ochrogaster,7,0
Common Waxbill,Estrilda astrild,338,367
Black-rumped Waxbill,Estrilda troglodytes,24,7
Crimson-rumped Waxbill,Estrilda rhodopyga,17,1
Arabian Waxbill,Estrilda rufibarba,9,0
Quailfinch,Ortygospiza atricollis,59,41
Locust Finch,Paludipasser locustella,16,0
Cut-throat Finch,Amadina fasciata,16,1
Red-headed Finch,Amadina erythrocephala,17,3
Green Avadavat,Amandava formosa,12,1
Orange-breasted Waxbill,Amandava subflava,20,4
Red Avadavat,Amandava amandava,85,7
Purple Grenadier,Granatina ianthinogaster,21,0
Violet-eared Waxbill,Granatina granatina,12,1
Blue Waxbill,Uraeginthus angolensis,44,60
Red-cheeked Cordon-bleu,Uraeginthus bengalus,86,88
Blue-capped Cordon-bleu,Uraeginthus cyanocephalus,8,0
Grant's Bluebill,Spermophaga poliogenys,2,0
Western Bluebill,Spermophaga haematina,24,5
Red-headed Bluebill,Spermophaga ruficapilla,3,0
Lesser Seedcracker,Pyrenestes minor,3,0
Black-bellied Seedcracker,Pyrenestes ostrinus,5,1
Green-winged Pytilia,Pytilia melba,34,3
Orange-winged Pytilia,Pytilia afra,3,0
Red-winged Pytilia,Pytilia phoenicoptera,3,1
Dybowski's Twinspot,Euschistospiza dybowskii,1,0
Dusky Twinspot,Euschistospiza cinereovinacea,3,0
Red-throated Twinspot,Hypargos niveoguttatus,19,2
Pink-throated Twinspot,Hypargos margaritatus,7,0
Brown Twinspot,Clytospiza monteiri,1,0
Red-billed Firefinch,Lagonosticta senegala,75,20
African Firefinch,Lagonosticta rubricata,43,17
Landana Firefinch,Lagonosticta landanae,5,0
Jameson's Firefinch,Lagonosticta rhodopareia,26,9
Mali Firefinch,Lagonosticta virata,4,1
Rock Firefinch,Lagonosticta sanguinodorsalis,1,0
Black-bellied Firefinch,Lagonosticta rara,2,0
Bar-breasted Firefinch,Lagonosticta rufopicta,7,1
Brown Firefinch,Lagonosticta nitidula,10,0
Black-faced Firefinch,Lagonosticta larvata,5,0
Village Indigobird,Vidua chalybeata,70,13
Purple Indigobird,Vidua purpurascens,21,0
Jambandu Indigobird,Vidua raricola,1,0
Barka Indigobird,Vidua larvaticola,4,0
Dusky Indigobird,Vidua funerea,26,1
Zambezi Indigobird,Vidua codringtoni,4,0
Wilson's Indigobird,Vidua wilsoni,3,0
Jos Plateau Indigobird,Vidua maryae,2,0
Cameroon Indigobird,Vidua camerunensis,1,0
Pin-tailed Whydah,Vidua macroura,75,10
Steel-blue Whydah,Vidua hypocherina,2,0
Straw-tailed Whydah,Vidua fischeri,14,0
Shaft-tailed Whydah,Vidua regia,11,0
Long-tailed Paradise Whydah,Vidua paradisaea,8,0
Sahel Paradise Whydah,Vidua orientalis,3,0
Exclamatory Paradise Whydah,Vidua interjecta,1,0
Broad-tailed Paradise Whydah,Vidua obtusa,2,0
Cuckoo-finch,Anomalospiza imberbis,6,0
Olive Warbler,Peucedramus taeniatus,154,124
Alpine Accentor,Prunella collaris,218,11
Altai Accentor,Prunella himalayana,22,2
Robin Accentor,Prunella rubeculoides,17,1
Rufous-breasted Accentor,Prunella strophiata,33,5
Siberian Accentor,Prunella montanella,31,6
Brown Accentor,Prunella fulvescens,62,17
Radde's Accentor,Prunella ocularis,31,0
Black-throated Accentor,Prunella atrogularis,26,5
Kozlov's Accentor,Prunella koslowi,12,0
Dunnock,Prunella modularis,2695,5455
Japanese Accentor,Prunella rubida,4,2
Maroon-backed Accentor,Prunella immaculata,7,0
Forest Wagtail,Dendronanthus indicus,65,7
Western Yellow Wagtail,Motacilla flava,2584,1048
Eastern Yellow Wagtail,Motacilla tschutschensis,311,46
Citrine Wagtail,Motacilla citreola,387,45
Cape Wagtail,Motacilla capensis,59,8
Madagascar Wagtail,Motacilla flaviventris,25,3
Sao Tome Shorttail,Motacilla bocagii,3,1
Grey Wagtail,Motacilla cinerea,902,516
Mountain Wagtail,Motacilla clara,45,4
White Wagtail,Motacilla alba,1636,1618
African Pied Wagtail,Motacilla aguimp,122,7
Mekong Wagtail,Motacilla samveasnae,10,2
Japanese Wagtail,Motacilla grandis,13,29
White-browed Wagtail,Motacilla maderaspatensis,51,12
Golden Pipit,Tmetothylacus tenellus,1,0
Sharpe's Longclaw,Macronyx sharpei,2,0
Abyssinian Longclaw,Macronyx flavicollis,3,0
Fülleborn's Longclaw,Macronyx fuelleborni,20,1
Cape Longclaw,Macronyx capensis,65,22
Yellow-throated Longclaw,Macronyx croceus,64,10
Pangani Longclaw,Macronyx aurantiigula,4,0
Rosy-throated Longclaw,Macronyx ameliae,14,0
Grimwood's Longclaw,Macronyx grimwoodi,2,0
Richard's Pipit,Anthus richardi,492,39
Paddyfield Pipit,Anthus rufulus,97,20
Australian Pipit,Anthus australis,14,2
New Zealand Pipit,Anthus novaeseelandiae,13,1
African Pipit,Anthus cinnamomeus,112,25
Mountain Pipit,Anthus hoeschi,7,0
Blyth's Pipit,Anthus godlewskii,215,12
Tawny Pipit,Anthus campestris,552,41
Long-billed Pipit,Anthus similis,60,10
Nicholson's Pipit,Anthus nicholsoni,32,1
Wood Pipit,Anthus nyassae,11,2
Buffy Pipit,Anthus vaalensis,6,0
Plain-backed Pipit,Anthus leucophrys,35,4
Long-legged Pipit,Anthus pallidiventris,4,0
Meadow Pipit,Anthus pratensis,1258,1651
Tree Pipit,Anthus trivialis,2246,1164
Olive-backed Pipit,Anthus hodgsoni,810,78
Pechora Pipit,Anthus gustavi,34,5
Rosy Pipit,Anthus roseatus,43,5
Red-throated Pipit,Anthus cervinus,539,53
Buff-bellied Pipit,Anthus rubescens,186,36
Water Pipit,Anthus spinoletta,725,142
European Rock Pipit,Anthus petrosus,338,48
Nilgiri Pipit,Anthus nilghiriensis,5,3
Upland Pipit,Anthus sylvanus,21,1
Berthelot's Pipit,Anthus berthelotii,65,18
Striped Pipit,Anthus lineiventris,34,6
African Rock Pipit,Anthus crenatus,139,1
Short-tailed Pipit,Anthus brachyurus,6,0
Bushveld Pipit,Anthus caffer,5,0
Sokoke Pipit,Anthus sokokensis,14,0
Malindi Pipit,Anthus melindae,13,1
Yellow-breasted Pipit,Anthus chloris,14,1
Alpine Pipit,Anthus gutturalis,5,0
Sprague's Pipit,Anthus spragueii,38,38
Yellowish Pipit,Anthus lutescens,96,15
Peruvian Pipit,Anthus peruvianus,11,2
Short-billed Pipit,Anthus furcatus,15,0
Puna Pipit,Anthus brevirostris,25,5
Pampas Pipit,Anthus chacoensis,7,0
Correndera Pipit,Anthus correndera,105,6
South Georgia Pipit,Anthus antarcticus,14,1
Ochre-breasted Pipit,Anthus nattereri,53,0
Hellmayr's Pipit,Anthus hellmayri,102,1
Paramo Pipit,Anthus bogotensis,25,3
Przevalski's Finch,Urocynchramus pylzowi,15,0
Common Chaffinch,Fringilla coelebs,7168,25044
Tenerife Blue Chaffinch,Fringilla teydea,36,16
Gran Canaria Blue Chaffinch,Fringilla polatzeki,18,1
Brambling,Fringilla montifringilla,934,744
Black-and-yellow Grosbeak,Mycerobas icterioides,10,0
Collared Grosbeak,Mycerobas affinis,21,5
Spot-winged Grosbeak,Mycerobas melanozanthos,9,0
White-winged Grosbeak,Mycerobas carnipes,64,27
Evening Grosbeak,Hesperiphona vespertina,224,48
Hooded Grosbeak,Hesperiphona abeillei,38,7
Hawfinch,Coccothraustes coccothraustes,1398,1479
Chinese Grosbeak,Eophona migratoria,91,24
Japanese Grosbeak,Eophona personata,46,161
Pine Grosbeak,Pinicola enucleator,272,32
Brown Bullfinch,Pyrrhula nipalensis,45,5
Orange Bullfinch,Pyrrhula aurantiaca,6,0
Red-headed Bullfinch,Pyrrhula erythrocephala,15,1
Grey-headed Bullfinch,Pyrrhula erythaca,28,5
Taiwan Bullfinch,Pyrrhula owstoni,15,4
White-cheeked Bullfinch,Pyrrhula leucogenis,8,0
Eurasian Bullfinch,Pyrrhula pyrrhula,1590,1134
Azores Bullfinch,Pyrrhula murina,30,4
Asian Crimson-winged Finch,Rhodopechys sanguineus,9,1
African Crimson-winged Finch,Rhodopechys alienus,20,1
Trumpeter Finch,Bucanetes githagineus,149,11
Mongolian Finch,Bucanetes mongolicus,84,5
Blanford's Rosefinch,Agraphospiza rubescens,10,0
Spectacled Finch,Callacanthis burtoni,11,0
Golden-naped Finch,Pyrrhoplectes epauletta,5,1
Dark-breasted Rosefinch,Procarduelis nipalensis,20,1
Plain Mountain Finch,Leucosticte nemoricola,24,1
Brandt's Mountain Finch,Leucosticte brandti,10,0
Asian Rosy Finch,Leucosticte arctoa,11,2
Grey-crowned Rosy Finch,Leucosticte tephrocotis,53,5
Black Rosy Finch,Leucosticte atrata,37,4
Brown-capped Rosy Finch,Leucosticte australis,14,1
Common Rosefinch,Carpodacus erythrinus,869,378
Scarlet Finch,Carpodacus sipahi,5,0
Streaked Rosefinch,Carpodacus rubicilloides,25,4
Great Rosefinch,Carpodacus rubicilla,35,0
Blyth's Rosefinch,Carpodacus grandis,5,0
Red-mantled Rosefinch,Carpodacus rhodochlamys,14,1
Himalayan Beautiful Rosefinch,Carpodacus pulcherrimus,14,1
Chinese Beautiful Rosefinch,Carpodacus davidianus,15,3
Pink-rumped Rosefinch,Carpodacus waltoni,15,2
Pink-browed Rosefinch,Carpodacus rodochroa,11,1
Dark-rumped Rosefinch,Carpodacus edwardsii,12,0
Spot-winged Rosefinch,Carpodacus rodopeplus,4,1
Sharpe's Rosefinch,Carpodacus verreauxii,1,0
Vinaceous Rosefinch,Carpodacus vinaceus,12,0
Taiwan Rosefinch,Carpodacus formosanus,7,8
Sinai Rosefinch,Carpodacus synoicus,33,7
Pale Rosefinch,Carpodacus stoliczkae,3,0
Tibetan Rosefinch,Carpodacus roborowskii,3,0
Long-tailed Rosefinch,Carpodacus sibiricus,86,24
Pallas's Rosefinch,Carpodacus roseus,10,1
Three-banded Rosefinch,Carpodacus trifasciatus,4,0
Himalayan White-browed Rosefinch,Carpodacus thura,17,6
Chinese White-browed Rosefinch,Carpodacus dubius,30,10
Red-fronted Rosefinch,Carpodacus puniceus,22,1
Crimson-browed Finch,Carpodacus subhimachalus,4,0
Maui Alauahio,Paroreomyza montana,10,1
Akikiki,Oreomystis bairdi,4,1
Nihoa Finch,Telespiza ultima,3,0
Palila,Loxioides bailleui,7,0
Iiwi,Drepanis coccinea,43,64
Akohekohe,Palmeria dolei,2,0
Apapane,Himatione sanguinea,65,98
Akiapolaau,Hemignathus wilsoni,20,3
Maui Parrotbill,Pseudonestor xanthophrys,2,0
Anianiau,Magumma parva,18,4
Hawaii Creeper,Loxops mana,23,3
Akekee,Loxops caeruleirostris,6,0
Hawaii Akepa,Loxops coccineus,15,5
Hawaii Amakihi,Chlorodrepanis virens,32,63
Oahu Amakihi,Chlorodrepanis flava,18,13
Kauai Amakihi,Chlorodrepanis stejnegeri,15,3
Purple Finch,Haemorhous purpureus,326,164
Cassin's Finch,Haemorhous cassinii,227,184
House Finch,Haemorhous mexicanus,472,2223
European Greenfinch,Chloris chloris,2257,4534
Grey-capped Greenfinch,Chloris sinica,96,121
Bonin Greenfinch,Chloris kittlitzi,2,0
Yellow-breasted Greenfinch,Chloris spinoides,24,1
Vietnamese Greenfinch,Chloris monguilloti,22,1
Black-headed Greenfinch,Chloris ambigua,20,5
Desert Finch,Rhodospiza obsoleta,23,0
Arabian Golden-winged Grosbeak,Rhynchostruthus percivali,31,0
Oriole Finch,Linurgus olivaceus,7,1
Principe Seedeater,Crithagra rufobrunnea,18,2
Sao Tome Grosbeak,Crithagra concolor,7,0
African Citril,Crithagra citrinelloides,13,2
Western Citril,Crithagra frontalis,11,1
Southern Citril,Crithagra hyposticta,39,3
Black-faced Canary,Crithagra capistrata,6,0
Papyrus Canary,Crithagra koliensis,6,0
Forest Canary,Crithagra scotops,29,11
White-rumped Seedeater,Crithagra leucopygia,14,3
Black-throated Canary,Crithagra atrogularis,25,36
Yellow-rumped Seedeater,Crithagra xanthopygia,4,1
Reichenow's Seedeater,Crithagra reichenowi,39,1
Arabian Serin,Crithagra rothschildi,10,0
Yellow-throated Seedeater,Crithagra flavigula,9,1
Salvadori's Seedeater,Crithagra xantholaema,7,0
Lemon-breasted Canary,Crithagra citrinipectus,2,0
Yellow-fronted Canary,Crithagra mozambica,119,48
White-bellied Canary,Crithagra dorsostriata,21,4
Ankober Serin,Crithagra ankoberensis,10,0
Yemen Serin,Crithagra menachensis,33,0
Cape Siskin,Crithagra totta,14,0
Drakensberg Siskin,Crithagra symonsi,9,0
Northern Grosbeak-Canary,Crithagra donaldsoni,9,0
Southern Grosbeak-Canary,Crithagra buchanani,25,2
Yellow Canary,Crithagra flaviventris,51,19
Brimstone Canary,Crithagra sulphurata,46,14
Reichard's Seedeater,Crithagra reichardi,7,0
Streaky-headed Seedeater,Crithagra gularis,38,8
West African Seedeater,Crithagra canicapilla,1,0
Black-eared Seedeater,Crithagra mennelli,10,1
Brown-rumped Seedeater,Crithagra tristriata,7,1
White-throated Canary,Crithagra albogularis,38,3
Thick-billed Seedeater,Crithagra burtoni,8,0
Streaky Seedeater,Crithagra striolata,67,10
Yellow-browed Seedeater,Crithagra whytii,4,0
Kipengere Seedeater,Crithagra melanochroa,5,1
Protea Canary,Crithagra leucoptera,14,0
Twite,Linaria flavirostris,243,25
Common Linnet,Linaria cannabina,1726,4491
Yemen Linnet,Linaria yemenensis,29,9
Warsangli Linnet,Linaria johannis,2,0
Common Redpoll,Acanthis flammea,632,387
Lesser Redpoll,Acanthis cabaret,375,67
Arctic Redpoll,Acanthis hornemanni,79,24
Parrot Crossbill,Loxia pytyopsittacus,794,71
Scottish Crossbill,Loxia scotica,64,1
Red Crossbill,Loxia curvirostra,4842,1004
Cassia Crossbill,Loxia sinesciuris,41,11
Two-barred Crossbill,Loxia leucoptera,269,53
Hispaniolan Crossbill,Loxia megaplaga,8,0
Indonesian Serin,Chrysocorythus estherae,5,0
European Goldfinch,Carduelis carduelis,2206,4070
Citril Finch,Carduelis citrinella,167,63
Corsican Finch,Carduelis corsicana,71,7
Red-fronted Serin,Serinus pusillus,60,21
European Serin,Serinus serinus,1396,2161
Syrian Serin,Serinus syriacus,9,0
Atlantic Canary,Serinus canaria,173,302
Cape Canary,Serinus canicollis,55,9
Yellow-crowned Canary,Serinus flavivertex,24,4
Ethiopian Siskin,Serinus nigriceps,8,1
Black-headed Canary,Serinus alario,26,2
Tibetan Serin,Spinus thibetanus,12,1
Lawrence's Goldfinch,Spinus lawrencei,83,26
American Goldfinch,Spinus tristis,292,745
Lesser Goldfinch,Spinus psaltria,391,839
Eurasian Siskin,Spinus spinus,1410,2409
Antillean Siskin,Spinus dominicensis,5,0
Pine Siskin,Spinus pinus,269,470
Black-capped Siskin,Spinus atriceps,4,0
Black-headed Siskin,Spinus notatus,29,8
Black-chinned Siskin,Spinus barbatus,61,11
Yellow-bellied Siskin,Spinus xanthogastrus,53,5
Olivaceous Siskin,Spinus olivaceus,28,4
Hooded Siskin,Spinus magellanicus,139,41
Saffron Siskin,Spinus siemiradzkii,14,0
Yellow-faced Siskin,Spinus yarrellii,8,0
Black Siskin,Spinus atratus,21,7
Yellow-rumped Siskin,Spinus uropygialis,9,3
Thick-billed Siskin,Spinus crassirostris,22,2
Andean Siskin,Spinus spinescens,33,3
Elegant Euphonia,Chlorophonia elegantissima,94,15
Antillean Euphonia,Chlorophonia musica,14,0
Golden-rumped Euphonia,Chlorophonia cyanocephala,111,11
Blue-naped Chlorophonia,Chlorophonia cyanea,111,27
Chestnut-breasted Chlorophonia,Chlorophonia pyrrhophrys,60,6
Yellow-collared Chlorophonia,Chlorophonia flavirostris,31,3
Blue-crowned Chlorophonia,Chlorophonia occipitalis,37,29
Golden-browed Chlorophonia,Chlorophonia callophrys,18,5
Jamaican Euphonia,Euphonia jamaica,6,1
Orange-crowned Euphonia,Euphonia saturata,13,0
Plumbeous Euphonia,Euphonia plumbea,43,2
Purple-throated Euphonia,Euphonia chlorotica,237,262
Finsch's Euphonia,Euphonia finschi,19,2
Velvet-fronted Euphonia,Euphonia concinna,43,4
Trinidad Euphonia,Euphonia trinitatis,39,7
West Mexican Euphonia,Euphonia godmani,23,13
Scrub Euphonia,Euphonia affinis,66,29
Yellow-crowned Euphonia,Euphonia luteicapilla,28,18
White-lored Euphonia,Euphonia chrysopasta,130,31
White-vented Euphonia,Euphonia minuta,60,5
Green-chinned Euphonia,Euphonia chalybea,46,3
Violaceous Euphonia,Euphonia violacea,182,42
Yellow-throated Euphonia,Euphonia hirundinacea,91,22
Thick-billed Euphonia,Euphonia laniirostris,186,169
Spot-crowned Euphonia,Euphonia imitans,21,1
Olive-backed Euphonia,Euphonia gouldi,51,14
Fulvous-vented Euphonia,Euphonia fulvicrissa,40,16
Tawny-capped Euphonia,Euphonia anneae,14,1
Orange-bellied Euphonia,Euphonia xanthogaster,240,239
Bronze-green Euphonia,Euphonia mesochrysa,69,13
Golden-sided Euphonia,Euphonia cayennensis,26,2
Rufous-bellied Euphonia,Euphonia rufiventris,61,53
Chestnut-bellied Euphonia,Euphonia pectoralis,78,47
Thick-billed Longspur,Rhynchophanes mccownii,67,5
Lapland Longspur,Calcarius lapponicus,547,87
Smith's Longspur,Calcarius pictus,30,1
Chestnut-collared Longspur,Calcarius ornatus,76,70
Snow Bunting,Plectrophenax nivalis,438,34
McKay's Bunting,Plectrophenax hyperboreus,3,0
Rosy Thrush-tanager,Rhodinocichla rosea,161,32
Crested Bunting,Emberiza lathami,20,1
Slaty Bunting,Emberiza siemsseni,21,0
Corn Bunting,Emberiza calandra,3168,2714
Yellowhammer,Emberiza citrinella,3450,8905
Pine Bunting,Emberiza leucocephalos,167,22
Rock Bunting,Emberiza cia,403,186
Godlewski's Bunting,Emberiza godlewskii,56,3
Meadow Bunting,Emberiza cioides,98,145
White-capped Bunting,Emberiza stewarti,37,4
